1,asdasd,41:23.456,1:23.456,1
2,asdasd,41:23.456,1:23.456,1
3,asdasd,41:23.456,1:23.456,1
4,asdasd,41:23.456,1:23.456,1
5,asdasd,41:23.456,1:23.456,1
6,asdasd,41:23.456,1:23.456,1
7,asdasd,41:23.456,1:23.456,1
8,asdasd,41:23.456,1:23.456,1
9,asdasd,41:23.456,1:23.456,1
10,asdasd,41:23.456,1:23.456,1
11,asdasd,41:23.456,1:23.456,1
12,asdasd,41:23.456,1:23.456,1
13,asdasd,41:23.456,1:23.456,1
14,asdasd,41:23.456,1:23.456,1
15,asdasd,41:23.456,1:23.456,1
16,asdasd,41:23.456,1:23.456,1
17,asdasd,41:23.456,1:23.456,1
DSQ,asdasd,-,1:23.456,1
DNS,asdasd,-,-,
